BC_SKU,BC_Name,BC_Price,Supplier,Supplier_SKU,Supplier_Name,Cost_Price,RRP,Stock,Match_Type,Reviewed
UN - NAK12,Naked Paleo Keto Bars Peanut Butter Chocolate 15 x 40g,67.5,uhp,AK12,Bioactive Honey MGO100+,18.72,29.95,,sku_prefix,FALSE
UN - AK14,Australia's Manuka Bioactive Honey MGO400+ 250g,49.95,uhp,AK14,Bioactive Honey MGO400+,31.22,49.95,,sku_prefix,FALSE
UN - AM01,Auromere Mint Toothpaste 117g,77.7,uhp,AM01,Toothpaste Ayurvedic Fresh Mint Fluoride Free,44.1,12.95,,sku_prefix,FALSE
UN - AM02,Auromere Classic Liquorice Toothpaste 117g,77.7,uhp,AM02,Toothpaste Ayurvedic Classic Licorice Fluoride Free,44.1,12.95,,sku_prefix,FALSE
UN - AM03,Auromere Mint Free Toothpaste 117g,77.7,uhp,AM03,Toothpaste Ayurvedic Mint Free Fluoride Free,44.1,12.95,,sku_prefix,FALSE
UN - TJ06,T.J Clark Legendary Photogenic 474ml,46.95,uhp,TJ06,Colloidal Minerals Legendary Phytogenic,26.67,46.95,,sku_prefix,FALSE
UN - AM04,Auromere Cardamom Toothpaste 117g,77.7,uhp,AM04,Toothpaste Ayurvedic Cardamom Fennel Fluoride Free,44.1,12.95,,sku_prefix,FALSE
UN - AM08,Auromere Mouthwash Ayurvedic Neem & Peelu 473ml X 6,149.7,uhp,AM08,Mouthwash Ayurvedic Neem & Peelu,85.08,24.95,,sku_prefix,FALSE
UN - AM11,Auromere Neem Soap Himalayan Rose 78g,59.4,uhp,AM11,Neem Soap Ayurvedic Himalayan Rose,33.72,4.95,,sku_prefix,FALSE
UN - AM12,Auromere Neem Soap Lavender 78g,59.4,uhp,AM12,Neem Soap Ayurvedic Lavender Neem,33.72,4.95,,sku_prefix,FALSE
UN - AM13,Auromere Neem Soap Sandal Turmeric 78g,59.4,uhp,AM13,Neem Soap Ayurvedic Sandal Turmeric,33.72,4.95,,sku_prefix,FALSE
UN - AM14,Auromere Ayurvedic Tongue Scraper Surgical Grade Stainless Steel,149.7,uhp,AM14,Tongue Scraper Ayurvedic Surgical Grade Stainless Steel,85.08,24.95,,sku_prefix,FALSE
UN - AM21,Auromere Toothpaste in a jar Ayurvedic Fresh Mint Fluoride Free  117g,95.7,uhp,AM21,Toothpaste Ayurvedic Fresh Mint Toothpaste in a Jar,54.38,15.95,,sku_prefix,FALSE
UN - ANW10,Antipodes Gospel Vitamin C Skin-Glow Gel Cleanser 200ml.,46,uhp,ANW10,Gospel Vitamin C Skin-Glow Gel Cleanser,23,46,,sku_prefix,FALSE
UN - ANW100,Antipodes Culture Probiotic Night Recovery Water Cream Mini 15ml,18,uhp,ANW100,Culture Probiotic Night Recovery Water Cream MINI,9,18,,sku_prefix,FALSE
UN - ANW102,Antipodes Culture Probiotic Night Recovery Water Cream 60ml.,70,uhp,ANW102,Culture Probiotic Night Recovery Water Cream,35,70,,sku_prefix,FALSE
UN - ANW110,Antipodes Joyful Hand & Body Cream 120ml.,44,uhp,ANW110,Joyful Hand & Body Cream,22,44,,sku_prefix,FALSE
UN - ANW116ST,Antipodes Natural Anti-Ageing Essentials 3pk,48,uhp,ANW116ST,Natural Anti-Ageing Essentials,24,48,,sku_prefix,FALSE
UN - ANW12,Antipodes Diem Vitamin C Pigment-Correcting Water Cream Mini 15ml,18,uhp,ANW12,Diem Vitamin C Pigment-Correcting Water Cream MINI,9,18,,sku_prefix,FALSE
UN - ANW13,Antipodes Glory Vitamin C Triple-Action Glow Toner 100ml,38,uhp,ANW13,Glory Vitamin C Triple-Action Glow Toner,19,38,,sku_prefix,FALSE
UN - ANW14,Antipodes Diem Vitamin C Pigment-Correcting Water Cream 60ml.,62,uhp,ANW14,Diem Vitamin C Pigment-Correcting Water Cream,31,62,,sku_prefix,FALSE
UN - ANW16,Antipodes Glow Vitamin C Serum MINI 10ml,19,uhp,ANW16,Glow Vitamin C Serum MINI,9.5,19,,sku_prefix,FALSE
UN - ANW18,Antipodes Glow Vitamin C Brightening Serum 30ml,54,uhp,ANW18,Glow Vitamin C Brightening Serum,27,54,,sku_prefix,FALSE
UN - ANW19,Antipodes Supernatural SPF50+ Ceramide Silk Sunscreen 60ml,59,uhp,ANW19,Supernatural SPF50+ Ceramide Silk Sunscreen,32.45,59,,sku_prefix,FALSE
UN - ANW20,Antipodes Kiwi Seed Gold Luminous Eye Cream 30ml,75,uhp,ANW20,Kiwi Seed Gold Luminous Eye Cream,37.5,75,,sku_prefix,FALSE
UN - ANW214,Antipodes Dragon Fruit Pink Lipstick 4g,32,uhp,ANW21,Jasmine Flower Menopause Facial Cream MINI,9,18,,sku_prefix,FALSE
