Supplier,Supplier_SKU,Name,Brand,Barcode,Cost_Price,RRP,Stock,Category
uhp,AK02,Bioactive Honey MGO550+,Australia's Manuka,9329661000329,78.09,124.95,,"Mega Sale, Natural Remedies, Pantry"
uhp,AK05,Bioactive Honey MGO250+,Australia's Manuka,9360240000279,28.09,44.95,,"Mega Sale, Natural Remedies, Pantry"
uhp,AK06,Bioactive Honey MGO850+,Australia's Manuka,9329661000428,71.84,114.95,,"Mega Sale, Natural Remedies, Pantry"
uhp,AK10,Bioactive Honey MGO30+,Australia's Manuka,9360240000231,14.97,23.95,,"Mega Sale, Natural Remedies, Pantry"
uhp,AK12,Bioactive Honey MGO100+,Australia's Manuka,9360240000255,18.72,29.95,,"Mega Sale, Natural Remedies, Pantry"
uhp,AK14,Bioactive Honey MGO400+,Australia's Manuka,9360240000217,31.22,49.95,,"Mega Sale, Natural Remedies, Pantry"
uhp,AM03,Toothpaste Ayurvedic Mint Free Fluoride Free,Auromere,027275200034,44.1,12.95,,Body & Beauty
uhp,TJ06,Colloidal Minerals Legendary Phytogenic,T.J. Clark,755875000647,26.67,46.95,,Natural Remedies
uhp,AM04,Toothpaste Ayurvedic Cardamom Fennel Fluoride Free,Auromere,027275200058,44.1,12.95,,Body & Beauty
uhp,AM08,Mouthwash Ayurvedic Neem & Peelu,Auromere,027275300208,85.08,24.95,,Body & Beauty
uhp,AM11,Neem Soap Ayurvedic Himalayan Rose,Auromere,027275400069,33.72,4.95,,Body & Beauty
uhp,AM12,Neem Soap Ayurvedic Lavender Neem,Auromere,027275400052,33.72,4.95,,Body & Beauty
uhp,AM13,Neem Soap Ayurvedic Sandal Turmeric,Auromere,027275400014,33.72,4.95,,Body & Beauty
uhp,AM14,Tongue Scraper Ayurvedic Surgical Grade Stainless Steel,Auromere,027275390018,85.08,24.95,,Body & Beauty
uhp,AM21,Toothpaste Ayurvedic Fresh Mint Toothpaste in a Jar,Auromere,027275201048,54.38,15.95,,Body & Beauty
uhp,ANW10,Gospel Vitamin C Skin-Glow Gel Cleanser,Antipodes,9421904521384,23,46,,"Body & Beauty, Cyber Sale"
uhp,ANW102,Culture Probiotic Night Recovery Water Cream,Antipodes,9421906120196,35,70,,"Body & Beauty, Cyber Sale"
uhp,ANW103,Jasmine Flower Menopause Facial Cream,Antipodes,9421908105115,33,66,,"Body & Beauty, Christmas, Cyber Sale, Mother's Day"
uhp,ANW105,Aura Gold Manuka Honey Radiance Mask,Antipodes,9421908105221,37.5,75,,"Body & Beauty, Cyber Sale"
uhp,ANW106,Ceramide Souffle Fresh Hydration Cream,Antipodes,9421908105191,31,62,,"Body & Beauty, Christmas, Cyber Sale"
uhp,ANW110,Joyful Hand & Body Cream,Antipodes,9421900569427,22,44,,"Body & Beauty, Cyber Sale"
uhp,ANW116ST,Natural Anti-Ageing Essentials,Antipodes,9421908105382,24,48,,"Body & Beauty, Christmas"
uhp,ANW117ST,Natural Skin-Brightening Essentials,Antipodes,9421908105399,28,56,,"Body & Beauty, Christmas"
uhp,ANW118ST,Natural Hydrating Essentials,Antipodes,9421908105405,27,54,,"Body & Beauty, Christmas"
uhp,ANW14,Diem Vitamin C Pigment-Correcting Water Cream,Antipodes,9421906730432,31,62,,"Body & Beauty, Cyber Sale"
uhp,ANW15,Supernatural SPF50+ Ceramide Silk Facial Sunscreen MINI,Antipodes,9421908105474,9.9,18,,Body & Beauty
uhp,ANW16,Glow Vitamin C Serum MINI,Antipodes,9421906730494,9.5,19,,Body & Beauty
uhp,ANW17,Ceramide Souffle Fresh Hydration Cream MINI,Antipodes,9421908105306,9,18,,Body & Beauty
uhp,ANW18,Glow Vitamin C Brightening Serum,Antipodes,9421906120097,27,54,,"Body & Beauty, Christmas, Cyber Sale"
uhp,ANW19,Supernatural SPF50+ Ceramide Silk Sunscreen,Antipodes,9421907387741,32.45,59,,"Body & Beauty, Cyber Sale"
uhp,ANW20,Kiwi Seed Gold Luminous Eye Cream,Antipodes,9421905119450,37.5,75,,"Body & Beauty, Cyber Sale"
uhp,ANW21,Jasmine Flower Menopause Facial Cream MINI,Antipodes,9421908105290,9,18,,Body & Beauty
uhp,ANW210,Kiwi Seed Oil Lip Conditioner,Antipodes,9421903925169,13,26,,"Body & Beauty, Cyber Sale"
uhp,ANW212,Dusky Sound Pink Lipstick,Antipodes,9421900569854,16,32,,"Body & Beauty, Cyber Sale"
uhp,ANW216,Oriental Bay Plum Lipstick,Antipodes,9421903925572,16,32,,"Body & Beauty, Cyber Sale"
uhp,ANW218,Golden Bay Nectar Lipstick,Antipodes,9421903925589,16,32,,"Body & Beauty, Cyber Sale"
uhp,ANW218DATE,Golden Bay Nectar Lipstick,Antipodes,,16,32,,
uhp,ANW220,Boom Rock Bronze Lipstick,Antipodes,9421900569861,16,32,,"Body & Beauty, Cyber Sale"
uhp,ANW222,Queenstown Hot Chocolate Lipstick,Antipodes,9421903925602,16,32,,"Body & Beauty, Christmas, Cyber Sale"
