Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/botanika-blends-botanika-brekky-probiotic-porridge-cacao-crunch-1kg/,/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-brekky-probiotic-porridge-vanilla-dream-1kg/,/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-basics-peanut-butter-powder-300g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/freshpaper-natural-food-saver-sheets-bread-baked-goods-x-4/,/,,
www.buyorganicsonline.com.au,/dr-superfoods-roasted-almonds-amber-chocolate-125g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/dr-superfoods-roasted-hazelnuts-amber-chocolate-125g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/ethique-solid-conditioner-bar-wonderbar-oily-or-normal-hair-60g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-gentle-shampoo-concentrate-for-touchy-scalps-unscented-50g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-hydrating-shampoo-concentrate-for-normal-to-dry-hair-bloom-50g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-balancing-shampoo-concentrate-for-oily-to-normal-hair-sorbet-50g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-gentle-conditioner-concentrate-for-touchy-scalps-unscented-25g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-hydrating-conditioner-concentrate-for-normal-to-dry-hair-bloom-25g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-balancing-conditioner-concentrate-for-oily-to-normal-hair-sorbet-25g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-gentle-bodywash-concentrate-unscented-50g/,/,,
www.buyorganicsonline.com.au,/ethique-hydrating-bodywash-concentrate-flourish-50g/,/,,
www.buyorganicsonline.com.au,/ethique-refreshing-bodywash-concentrate-zest-50g/,/,,
www.buyorganicsonline.com.au,/ethique-gentle-body-lotion-concentrate-unscented-50g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/ethique-hydrating-body-lotion-concentrate-flourish-50g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/ethique-hydrating-body-lotion-concentrate-zest-50g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/ethique-hydrating-handwash-concentrate-flourish-50g/,/,,
www.buyorganicsonline.com.au,/ethique-invigorating-handwash-concentrate-sorbet-50g/,/,,
www.buyorganicsonline.com.au,/ethique-refreshing-handwash-concentrate-zest-50g/,/,,
www.buyorganicsonline.com.au,/ethique-multi-purpose-bathroom-spray-concentrate-eucalyptus-25g/,/,,
www.buyorganicsonline.com.au,/ethique-multi-purpose-kitchen-spray-concentrate-sweet-orange-25g/,/,,
www.buyorganicsonline.com.au,/ethique-solid-face-cleanser-bar-deep-green-100g/,/beauty-personal-care/skin-care/,,
www.buyorganicsonline.com.au,/earthwise-toilet-cleaner-orange-eucalyptus-500ml/,/plant-animal-oils/,,
www.buyorganicsonline.com.au,/earthwise-shower-bathroom-cleaner-eucalyptus-lemon-500ml/,/,,
www.buyorganicsonline.com.au,/earthwise-multi-surface-cleaner-citrus-mint-500ml/,/beauty-personal-care/skin-care/,,
www.buyorganicsonline.com.au,/earthwise-multi-surface-cleaner-tea-tree-thyme-500ml/,/beauty-personal-care/skin-care/,,
www.buyorganicsonline.com.au,/earthwise-kitchen-cleaner-pomegranate-500ml/,/,,
www.buyorganicsonline.com.au,/earthwise-window-glass-cleaner-500ml/,/,,
www.buyorganicsonline.com.au,/earthwise-disinfectant-eucalyptus-thyme-1l/,/,,
