BC Product ID,SKU,Name,Barcode,Reason
3386,"KAD - 6022","Lotus Psyllium Husks 98% 200g","9317127060222","No UHP match found"
3387,"KAD - 6181","Lotus Lecithin Granules Unbleached 200g","9317127061816","No UHP match found"
3398,"KAD - 6061","Lotus Fructose 500g","9317127060611","No UHP match found"
3404,"KAD - 6029","Lotus Pepitas (Pumpkin Kernels) 250g","9317127060291","No UHP match found"
3406,"KAD - 63803","Lotus Buckwheat Flour Organic 500g","9317127638032","No UHP match found"
3410,"KAD - 64057","Lotus Millet Flakes Rolled Organic 375g","9317127640578","No UHP match found"
3415,"KAD - 6128","Lotus Rice Flakes Brown Rolled 500g","9317127061281","No UHP match found"
3432,"KAD - 63802","Lotus Besan Flour Organic 500g","9317127638025","No UHP match found"
3451,"KAD - 1582","Body Crystal Fragrance Free Mist Spray 150ml","9300641001000","No UHP match found"
3467,"KAD - 63881","Lotus Sea Salt Celtic Coarse 500g","9317127638810","No UHP match found"
3485,"KAD - 421146","Lotus Agave Light Organic 250ml","9317127003588","No UHP match found"
3486,"KAD - 421158","Lotus Agave Dark Organic 250ml","9317127003595","No UHP match found"
3501,"KAD - 6281","Lotus Mung Beans Organic 500g","9317127062813","No UHP match found"
3502,"KAD - 64009","Lotus Sugar Rapadura Organic 375g","9317127640097","No UHP match found"
3514,"KAD - 443805","Body Crystal Botanica Roll On 80ml","9300641001246","No UHP match found"
3516,"KAD - 443831","Body Crystal Wildflowers Roll On 80ml","9300641001321","No UHP match found"
3518,"KAD - 6352","Lotus Yeast Flakes Savoury 100g","9317127063520","No UHP match found"
3527,"KAD - 63868","Oats Rolled Traditional Creamy Style Organic 750g Lotus","9317127638681","No UHP match found"
3536,"KAD - 63837","Lotus Flour White Unbleached Organic 1kg","9317127638377","No UHP match found"
3542,"KAD - 63869","Lotus Rice Sushi Organic 500g","9317127638698","No UHP match found"
3549,"KAD - 411583","Lotus Psyllium Husks 98% (Shaker) 150g","9317127003816","No UHP match found"
3590,"KAD - 63807","Lotus Rice Flour Brown Organic 500g","9317127638070","No UHP match found"
3550,"KAD - 423965","Lotus Rice Flour White Organic 500g","9317127003731","No UHP match found"
3556,"KAD - 63970","Chocolate Bits Coarse Organic 125g Lotus","9317127639701","No UHP match found"
3574,"KAD - 850","Herbon Rinse Aid 250ml","9313091101206","No UHP match found"
3577,"KAD - 63885","Lotus Sea Salt Celtic Fine 500g","9317127638858","No UHP match found"
3587,"KAD - 411624","Lotus Sea Salt Celtic Fine (Shaker) 450g","9317127003854","No UHP match found"
3598,"KAD - 63809","Lotus Flour Self Raising Organic 1kg","9317127638094","No UHP match found"
3599,"KAD - 63835","Lotus Oats Rolled Unstabilised Organic 750g","9317127638353","No UHP match found"
3602,"KAD - 6304","Lotus Linseed (Flaxseed) Brown Organic 500g","9317127063049","No UHP match found"
3603,"KAD - 426187","Lotus Sugar Rapadura Organic 500g","9317127004219","No UHP match found"
3605,"KAD - 1515","Tea Leaf Green Organic 125g Nature's Cuppa","9311367000338","No UHP match found"
3606,"KAD - 1523","Nature's Cuppa Tea Leaf Black Ceylon Organic 125g","9311367000147","No UHP match found"
3626,"KAD - 64053","Lotus Sugar Demerara Organic 500g","9317127640530","No UHP match found"
3647,"KAD - 875","Herbon Multi Surface Spray Refill Pack 750ml","9313091105105","No UHP match found"
3650,"KAD - 66750","Lemon Juice Organic 370ml Lakewood","042608125754","No UHP match found"
3651,"KAD - 63940","Lotus Rye Flour Organic 1kg","9317127639404","No UHP match found"
3652,"KAD - 63851","Lotus Rice Basmati Organic 500g","9317127638513","No UHP match found"
3658,"KAD - 1516","Tea Earl Grey Organic 60 Tea Bags Nature's Cuppa","9311367000376","No UHP match found"
3661,"KAD - 1553","Nature's Cuppa Tea Black Ceylon Organic 60 Tea Bags 60 Tea Bags","9311367000352","No UHP match found"
3679,"KAD - 63870","Lotus Rice Jasmine Organic 500g","9317127638704","No UHP match found"
3689,"KAD - 6291","Lotus Gluten Flour 500g","9317127062912","No UHP match found"
3697,"KAD - 439430","Ambrosia Honey Organic 500g","9327006000157","No UHP match found"
3710,"KAD - 63973","Potato Starch Organic 375g Lotus","9317127639732","No UHP match found"
3715,"KAD - 63845","Lotus Quinoa Grain White Organic 300g","9317127638452","No UHP match found"
3726,"KAD - 64040","Lotus Oats Rolled Traditional Creamy Style Organic 1kg","9317127640400","No UHP match found"
3742,"KAD - 64006","Lotus Cocoa Powder Organic 200g","9317127640066","No UHP match found"
3757,"KAD - 63958","Lotus Linseed (Flaxseed) Golden Organic 500g","9317127639589","No UHP match found"
3759,"KAD - 78000","Ambrosia Honey Raw Organic 500g","9327006000195","No UHP match found"
3780,"KAD - 63849","Lotus Quinoa Flakes Organic 300g","9317127638490","No UHP match found"
6032,"UN - CLIF55","Clif Bar Black Cherry (50mg Caffeine) 18x 60g","722252380647","No UHP match found"
3787,"KAD - 411595","Lotus Yeast Flakes Savoury (Shaker) 145g","9317127003823","No UHP match found"
3808,"KAD - 884","Herbon Multi Surface Spray Cleaner 750ml","9313091000165","No UHP match found"
3838,"KAD - 6312","Lotus Potato Starch 1kg","9317127063124","No UHP match found"
3860,"KAD - 885","Herbon Conditioner 250ml","93227933","No UHP match found"
3864,"KAD - 889","Herbon Shampoo Anti Dandruff 250ml","93227926","No UHP match found"
3865,"KAD - 414315","Muesli Natural Refill Organic (Bag) 500g Real Good Food","9326010000146","No UHP match found"
3866,"KAD - 414353","Real Good Food Muesli Bircher Organic (Bag) 500g","9326010000238","No UHP match found"
3867,"KAD - 414468","Muesli Fruit Free Organic (Bag) 500g Real Good Food","9326010000825","No UHP match found"
3874,"KAD - 63913","Lotus Sea Salt Celtic Coarse 1kg","9317127639138","No UHP match found"
3875,"KAD - 887","Herbon Deodorant Roll on 50ml","93226745","No UHP match found"
4142,"KAD - 32622","Avalon Organics Shampoo Lavender 325ml","654749351000","No UHP match found"
3880,"KAD - 414626","Real Good Food Oats Rolled Premium Aussie Organic 1kg","9326010000573","No UHP match found"
3912,"KAD - 426151","Lotus Pumpkin Kernels (Pepitas) Organic 500g","9317127004172","No UHP match found"
3914,"KAD - 64061","Quinoa Grain Red Organic 500g Lotus","9317127640615","No UHP match found"
3915,"KAD - 423991","Lotus Quinoa Grain Black Organic 500g","9317127003335","No UHP match found"
3917,"KAD - 440308","Lakewood Tart Cherry Juice Blend Organic 946ml","042608459774","No UHP match found"
3922,"KAD - 6062","Fructose Powder 1kg Lotus","9317127060628","No UHP match found"
3933,"KAD - 414779","Real Good Food High Protein Mix Organic (jar) 280g","9326010000542","No UHP match found"
3944,"KAD - 1561","Coffee Organic Freeze Dried Granules 100g Nature's Cuppa","9311367000444","No UHP match found"
3991,"KAD - 414511","Muesli Bircher Organic Gluten Free (Bag) 500g Real Good Food","9326010000658","No UHP match found"
