Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/acure-vivacious-volume-shampoo-peppermint-236ml-on-sale/,/,,
www.buyorganicsonline.com.au,/acure-unicorn-shimmer-shampoo-236ml-on-sale/,/,,
www.buyorganicsonline.com.au,/acure-deodorant-stick-fragrance-free-62-4g-on-sale/,/,,
www.buyorganicsonline.com.au,/acure-deodorant-stick-geranium-62-4g-on-sale/,/,,
www.buyorganicsonline.com.au,/acure-deodorant-stick-cedarwood-mint-62-4g-on-sale/,/,,
www.buyorganicsonline.com.au,/organic-wheat-grain-hard-10kg-bulk/,/,,
www.buyorganicsonline.com.au,/lotus-buckwheat-flour-organic-1kg-on-sale-bb-18-08-25/,/,,
www.buyorganicsonline.com.au,/auromere-classic-liquorice-toothpaste-117g-on-sale-exp-05-25/,/,,
www.buyorganicsonline.com.au,/earthwise-toilet-cleaner-pine-tea-tree-500ml-on-sale-bb-05-04-25/,/,,
www.buyorganicsonline.com.au,/earthwise-air-freshener-pacific-frangipani-250ml-on-sale-bb-24-07-25/,/,,
www.buyorganicsonline.com.au,/earthwise-dish-liquid-rosehip-aloe-vera-750-ml-on-sale-bb-02-06-25/,/,,
www.buyorganicsonline.com.au,/earthwise-toilet-cleaner-orange-eucalyptus-500ml-on-sale-bb-25-07-25/,/,,
www.buyorganicsonline.com.au,/yogi-tea-berry-detox-tea-bags-16-bags-on-sale-bb-06-09-25/,/,,
www.buyorganicsonline.com.au,/marigold-health-foods-bouillon-cube-green-yeast-free-8-packet-on-sale-bb-04-04-25/,/,,
www.buyorganicsonline.com.au,/copy-of-lentils-brown-organic-canned-400g-global-organics/,/,,
www.buyorganicsonline.com.au,/nutritionist-choice-brown-rice-buckwheat-pasta-spaghetti-180g-on-sale-bb-20-08-25/,/,,
www.buyorganicsonline.com.au,/spiral-wakame-sea-vegetable-organic-50g-on-sale-bb-17-08-25/,/,,
www.buyorganicsonline.com.au,/2die4-live-foods-activated-almonds-300g-on-sale-bb-01-09-25/,/,,
www.buyorganicsonline.com.au,/every-bit-organic-raw-crack-d-smooth-peanut-butter-250g-on-sale-bb-05-27/,/,,
www.buyorganicsonline.com.au,/lotus-linseed-flaxseed-golden-organic-500g-on-sale-bb-11-08-25/,/,,
www.buyorganicsonline.com.au,/copy-of-planet-organic-st-johns-wort-tea-bags-25-bags/,/,,
www.buyorganicsonline.com.au,/gevity-rx-great-guts-mayo-bonebrothsauce-375ml-on-sale-bb-08-10-25/,/,,
www.buyorganicsonline.com.au,/pbco-almond-flour-premium-australian-800g-on-sale-bb-13-06-26/,/,,
www.buyorganicsonline.com.au,/faith-in-nature-shampoo-revitalising-dragon-fruit-400ml-on-sale/,/,,
www.buyorganicsonline.com.au,/copy-of-absolutefruitz-freeze-dried-pineapple-slices-15g/,/,,
www.buyorganicsonline.com.au,/the-broth-sisters-beef-bone-broth-concentrate-natural-420g-on-sale-bb-28-01-26/,/,,
www.buyorganicsonline.com.au,/chick-peas-organic-500g-lotus-on-sale-bb-20-10-25/,/,,
www.buyorganicsonline.com.au,/lotus-linseed-flaxseed-brown-organic-500g-on-sale-bb-27-10-25/,/,,
www.buyorganicsonline.com.au,/clipper-clip-earl-grey-20-tbags-on-sale-bb-04-10-25/,/,,
www.buyorganicsonline.com.au,/clipper-clip-english-breakfast-20-tbags-on-sale-bb-23-11-25/,/,,
www.buyorganicsonline.com.au,/copy-of-microrganics-green-nutritional-grn-calcium-plantsource-powder-250g/,/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-basics-activated-charcoal-300g-on-sale/,/,,
www.buyorganicsonline.com.au,/copy-of-stoney-creek-flaxseed-meal-golden-500g/,/,,
www.buyorganicsonline.com.au,/weleda-shaving-cream-men-75ml-on-sale-bb-10-25/,/,,
www.buyorganicsonline.com.au,/copy-of-bonvit-roasted-dandelion-blend-medium-175g/,/,,
www.buyorganicsonline.com.au,/lotus-millet-hulled-organic-500g-on-sale-bb-27-10-25/,/,,
www.buyorganicsonline.com.au,/lotus-quinoa-flakes-organic-300g-on-sale-bb-03-11-25/,/,,
www.buyorganicsonline.com.au,/oats-rolled-traditional-creamy-style-organic-750g-lotus-on-sale-bb-13-10-25/,/,,
www.buyorganicsonline.com.au,/marigold-health-foods-bouillon-powder-no-yeast-green-150g-on-sale-bb-01-26/,/,,
www.buyorganicsonline.com.au,/marigold-health-foods-bouillon-powder-no-yeast-green-500g-on-sale-bb-02-26/,/,,
www.buyorganicsonline.com.au,/copy-of-australian-healing-clay-bentonite-clay-powder-1kg/,/,,
www.buyorganicsonline.com.au,/carob-farm-carob-block-salted-caramel-12-x-95g-on-sale-bb-02-08-26/,/,,
www.buyorganicsonline.com.au,/copy-of-oureco-home-mould-spray-clove-and-sweet-orange-500ml/,/,,
www.buyorganicsonline.com.au,/chia-seeds-black-organic-bag-500g-lotus-on-sale-bb-19-01-26/,/,,
www.buyorganicsonline.com.au,/lotus-green-banana-flour-500g-on-sale-bb-26-01-26/,/,,
www.buyorganicsonline.com.au,/alaffia-body-lotion-purely-coconut-950ml-on-sale-bb-09-25/,/,,
www.buyorganicsonline.com.au,/alaffia-vanilla-body-lotion-950ml-on-sale-bb-07-25/,/,,
www.buyorganicsonline.com.au,/alaffia-lavender-body-lotion-950ml-on-sale-bb-09-25/,/,,
www.buyorganicsonline.com.au,/alaffia-lavender-shampoo-950-ml-on-sale-bb-11-25/,/,,
www.buyorganicsonline.com.au,/alaffia-unscented-shampoo-950-ml-on-sale-bb-09-25/,/,,
