id,from_path,target_type,target_destination,target_entity_id,category,site_id
6711,/wotnot-baby-balm/,product,Product ID: 6568,6568,standard-product,1000
6714,/tom-organic-maternity-pads/,product,Product ID: 6668,6668,standard-product,1000
6718,/solutions-4-health-fortified-defence/,product,Product ID: 6552,6552,standard-product,1000
6720,/redmond-clay-bentonite-healing-clay/,product,Product ID: 6544,6544,standard-product,1000
6722,/hemp-seed-oil-500-ml-by-hemp-foods-australia/,product,Product ID: 7060,7060,standard-product,1000
6730,/chocolate-scrub-250-grams-by-giovanni/,product,Product ID: 1349,1349,standard-product,1000
6733,/liquorice-toothpaste-117-grams-by-auromere/,product,Product ID: 655,655,standard-product,1000
6738,/wild-yam-cream-100-grams-by-annas/,product,Product ID: 698,698,standard-product,1000
6750,/green-powder-500-grams-by-green-nutritionals/,product,Product ID: 1414,1414,standard-product,1000
6751,/green-super-food-powder-500g-by-green-nutritionals/,product,Product ID: 1414,1414,standard-product,1000
6758,/maca-cacao-blend-250-grams-by-power-super-foods/,product,Product ID: 2146,2146,standard-product,1000
6762,/virgin-coconut-oil-650-ml-by-niugini-organics/,product,Product ID: 1866,1866,standard-product,1000
6778,/maple-syrup-4236-ml-by-coombs-family-farms/,product,Product ID: 999,999,standard-product,1000
6792,/dandelion-tea-500-grams-by-symingtons/,product,Product ID: 2369,2369,standard-product,1000
6793,/png-coffee-for-plunger-250-grams-by-sacred-grounds/,brand,Brand ID: 185,185,standard-product,1000
6820,/biologika-citrus-veggie-cream/,brand,Brand ID: 697,697,standard-product,1000
6821,/biologika-mediterran-conditioner/,brand,Brand ID: 697,697,standard-product,1000
6822,/biologika-passion-spray/,brand,Brand ID: 697,697,standard-product,1000
6823,/biologika-rose-soap/,brand,Brand ID: 697,697,standard-product,1000
6824,/biologika-soap-display-box/,brand,Brand ID: 697,697,standard-product,1000
6825,/biologika-vanilla-soap/,brand,Brand ID: 697,697,standard-product,1000
6905,/citrus-rose-veggie-cream-100g-by-australian-biologika-on-sale/,brand,Brand ID: 697,697,sale-expiry,1000
6911,/coconut-hand-body-lotion-237ml-by-desert-essence-on-sale/,category,Category ID: 32,32,sale-expiry,1000
7022,/lavender-spray-237-ml-by-lafes-organic/,brand,Brand ID: 697,697,standard-product,1000
7023,/lavender-veggie-cream-by-100g-australian-biologika-on-sale/,brand,Brand ID: 697,697,sale-expiry,1000
7024,/lavender-wipes-210-wipes-by-eo/,brand,Brand ID: 697,697,standard-product,1000
7162,/magnesium-bath-flakes-800-grams-by-amazing-oils/,product,Product ID: 672,672,standard-product,1000
7184,/superfoods-by-green-nutritionals/,product,Product ID: 6287,6287,standard-product,1000
7195,/sorbolene-alternative-1-kg-by-vegesorp/,product,Product ID: 2451,2451,standard-product,1000
7196,/sorbolene-alternative-100-grams-by-vegesorp/,product,Product ID: 2450,2450,standard-product,1000
7198,/2chic-shampoo-250-ml-by-giovanni/,product,Product ID: 1371,1371,standard-product,1000
7199,/dry-shampoo-50-grams-by-giovanni/,product,Product ID: 1390,1390,standard-product,1000
7201,/tea-tree-shampoo-60-ml-by-giovanni/,product,Product ID: 1334,1334,standard-product,1000
7202,/tea-tree-conditioner-60-ml-by-giovanni/,product,Product ID: 1331,1331,standard-product,1000
7205,/2chic-conditioner-250-ml-by-giovanni/,product,Product ID: 1362,1362,standard-product,1000
7206,/acne/,category,Category ID: 628,628,standard-product,1000
7207,/giovanni-2chic-shampoo/,product,Product ID: 6433,6433,standard-product,1000
7208,/2chic-leave-in-elixer-118ml-by-giovanni/,product,Product ID: 6101,6101,standard-product,1000
7289,/bragg-olive-oil-extra-virgin/,product,Product ID: 6490,6490,standard-product,1000
7290,/redmond-earth-paste-toothpaste-spearmint/,product,Product ID: 6546,6546,standard-product,1000
7291,/redmond-earth-paste-toothpaste-peppermint/,product,Product ID: 6545,6545,standard-product,1000
7292,/redmond-real-salt-toothpaste-wintergreen/,product,Product ID: 6548,6548,standard-product,1000
7294,/yogi-tea-sweet-tangerine-positive-energy/,product,Product ID: 6573,6573,standard-product,1000
7295,/yogi-tea-honey-lavender-stress-relief/,product,Product ID: 6572,6572,standard-product,1000
7297,/green-powder-150-grams-by-green-nutritionals/,product,Product ID: 1429,1429,standard-product,1000
7300,/hemp-seeds-1-kg-by-hemp-foods-australia/,product,Product ID: 7062,7062,standard-product,1000
7301,/vegesorp-sorbolene-alternative-1kg/,product,Product ID: 2451,2451,standard-product,1000
7311,/colostrum-500-grams-by-protein-supplies-aust/,product,Product ID: 2201,2201,standard-product,1000
7314,/maca-powder-200-grams-by-power-super-foods/,product,Product ID: 2154,2154,standard-product,1000
7323,/smooth-shampoo-1-litre-by-giovanni/,product,Product ID: 1361,1361,standard-product,1000
7324,/50-50-conditioner-1-litre-by-giovanni/,product,Product ID: 1356,1356,standard-product,1000
7325,/smooth-conditioner-1-litre-by-giovanni/,product,Product ID: 1357,1357,standard-product,1000
7326,/50-50-shampoo-1-litre-by-giovanni/,product,Product ID: 1360,1360,standard-product,1000
7331,/chocolate-scrub-250g-by-giovanni/,product,Product ID: 1349,1349,standard-product,1000
7332,/styling-glue-57g-by-giovanni/,product,Product ID: 1388,1388,standard-product,1000
7333,/wicked-wax-57g-by-giovanni/,product,Product ID: 1389,1389,standard-product,1000
7334,/straight-fast-200-ml-by-giovanni/,product,Product ID: 1353,1353,standard-product,1000
7335,/hair-thickener-200ml-by-giovanni/,product,Product ID: 1351,1351,standard-product,1000
7336,/frizz-be-gone-78-ml-by-giovanni/,product,Product ID: 1338,1338,standard-product,1000
7337,/shine-finishing-mist-100ml-by-giovanni/,product,Product ID: 1339,1339,standard-product,1000
7338,/shine-of-the-times-high-gloss-hair-finishing-mist-silicone-100ml/,product,Product ID: 1339,1339,standard-product,1000
7339,/la-natural-styling-gel-200ml-by-giovanni/,product,Product ID: 1350,1350,standard-product,1000
7340,/wellness-shampoo-250-ml-by-giovanni/,product,Product ID: 1378,1378,standard-product,1000
7341,/50-50-shampoo-250-ml-by-giovanni/,product,Product ID: 1372,1372,standard-product,1000
7342,/root-66-conditioner-250-ml-by-giovanni/,product,Product ID: 1367,1367,standard-product,1000
7343,/la-hold-hair-spray-150ml-by-giovanni/,product,Product ID: 1346,1346,standard-product,1000
7344,/wheat-shampoo-250-ml-by-giovanni/,product,Product ID: 1373,1373,standard-product,1000
7345,/wellness-conditioner-250-ml-by-giovanni/,product,Product ID: 1368,1368,standard-product,1000
7346,/nutrafix-hair-reconstruct-200ml-by-giovanni/,product,Product ID: 1352,1352,standard-product,1000
7347,/50-50-conditioner-250-ml-by-giovanni/,product,Product ID: 1363,1363,standard-product,1000
7348,/smooth-shampoo-250-ml-by-giovanni/,product,Product ID: 1374,1374,standard-product,1000
7349,/root-66-volumiser-250ml-by-giovanni/,product,Product ID: 1369,1369,standard-product,1000
7350,/vitapro-fusion-150-ml-by-giovanni/,product,Product ID: 1348,1348,standard-product,1000
7351,/tea-tree-shampoo-250-ml-by-giovanni/,product,Product ID: 1375,1375,standard-product,1000
7353,/smooth-conditioner-250-ml-by-giovanni/,product,Product ID: 1365,1365,standard-product,1000
